timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long,exit_reason,reason
2025-11-21 07:32:02.612004,hold,,hyperliquid,lighter,2752.0,2730.16,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:33:02.612270,hold,,hyperliquid,lighter,2728.2,2697.36,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:34:02.612527,hold,,hyperliquid,lighter,2694.6,2681.69,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:35:02.612729,hold,,hyperliquid,lighter,2681.0,2705.96,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:36:02.613044,hold,,hyperliquid,lighter,2707.4,2698.31,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:37:02.613232,hold,,hyperliquid,lighter,2699.8,2714.37,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:38:02.613441,hold,,hyperliquid,lighter,2713.7,2714.92,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:39:02.613670,hold,,hyperliquid,lighter,2713.8,2721.75,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:40:02.613893,hold,,hyperliquid,lighter,2719.7,2729.26,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:41:02.614107,hold,,hyperliquid,lighter,2727.9,2736.62,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:42:02.614333,hold,,hyperliquid,lighter,2735.5,2730.22,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:43:02.614558,hold,,hyperliquid,lighter,2729.9,2732.78,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:44:02.614744,hold,,hyperliquid,lighter,2730.7,2732.84,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:45:02.614937,hold,,hyperliquid,lighter,2731.5,2727.59,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:46:02.615126,hold,,hyperliquid,lighter,2726.4,2723.64,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:47:02.615375,hold,,hyperliquid,lighter,2721.2,2718.29,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:48:02.615588,hold,,hyperliquid,lighter,2717.5,2714.22,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:49:02.615813,hold,,hyperliquid,lighter,2712.0,2712.94,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:50:02.616007,hold,,hyperliquid,lighter,2710.8,2729.27,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:51:02.616252,hold,,hyperliquid,lighter,2728.6,2722.33,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:52:02.616499,hold,,hyperliquid,lighter,2720.9,2725.06,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:53:02.616753,hold,,hyperliquid,lighter,2724.0,2719.78,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:54:02.617152,hold,,hyperliquid,lighter,2719.0,2714.18,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:55:02.617371,hold,,hyperliquid,lighter,2712.4,2715.46,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:56:02.617564,hold,,hyperliquid,lighter,2713.4,2721.86,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:57:02.617740,hold,,hyperliquid,lighter,2720.4,2714.16,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:58:02.617923,hold,,hyperliquid,lighter,2712.6,2719.75,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 07:59:02.618106,hold,,hyperliquid,lighter,2717.5,2720.64,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:00:02.618317,hold,,hyperliquid,lighter,2719.2,2714.91,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:01:02.618486,hold,,hyperliquid,lighter,2713.3,2718.4,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:02:02.618724,hold,,hyperliquid,lighter,2717.2,2718.0,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:03:02.618895,hold,,hyperliquid,lighter,2716.6,2711.83,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:04:02.619141,hold,,hyperliquid,lighter,2710.0,2711.23,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:05:02.619420,hold,,hyperliquid,lighter,2710.6,2726.08,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:06:02.619654,hold,,hyperliquid,lighter,2724.9,2732.17,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:07:02.619888,hold,,hyperliquid,lighter,2730.6,2733.67,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:08:02.620117,hold,,hyperliquid,lighter,2731.9,2733.66,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:09:02.620334,hold,,hyperliquid,lighter,2732.0,2735.45,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:10:02.620521,hold,,hyperliquid,lighter,2733.9,2731.96,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:11:02.620756,hold,,hyperliquid,lighter,2730.9,2740.89,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:12:02.620950,hold,,hyperliquid,lighter,2739.3,2747.67,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:13:02.621176,hold,,hyperliquid,lighter,2746.6,2749.1,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:14:02.621390,hold,,hyperliquid,lighter,2748.2,2743.66,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
2025-11-21 08:15:02.621669,hold,,hyperliquid,lighter,2740.9,2752.21,1.25e-05,1.1999999999999999e-05,,,,,insufficient_funding_edge
