timestamp,action,hours_open,x_exchange,y_exchange,x_price,y_price,x_funding_rate,y_funding_rate,receiver,x_is_long,y_is_long
2025-11-08 16:30:38.351411,enter,0.0,hyperliquid,lighter,101830.0,101819.4,1.25e-05,0.0012,y,True,False
2025-11-08 16:31:38.351680,hold,0.01666674138888889,hyperliquid,lighter,101790.0,101788.7,1.25e-05,0.0012,y,True,False
2025-11-08 16:32:38.351971,hold,0.03333348888888889,hyperliquid,lighter,101754.0,101776.1,1.25e-05,0.0012,y,True,False
2025-11-08 16:33:38.352247,hold,0.05000023222222222,hyperliquid,lighter,101750.0,101823.4,1.25e-05,0.0012,y,True,False
2025-11-08 16:34:38.352526,hold,0.06666697638888888,hyperliquid,lighter,101798.0,101890.4,1.25e-05,0.0012,y,True,False
2025-11-08 16:35:38.352789,hold,0.08333371611111111,hyperliquid,lighter,101854.0,101876.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:36:38.353038,hold,0.10000045194444444,hyperliquid,lighter,101853.0,101873.7,1.25e-05,0.0012,y,True,False
2025-11-08 16:37:38.353334,hold,0.11666720083333333,hyperliquid,lighter,101842.0,101912.2,1.25e-05,0.0012,y,True,False
2025-11-08 16:38:38.353542,hold,0.1333339252777778,hyperliquid,lighter,101876.0,101914.1,1.25e-05,0.0012,y,True,False
2025-11-08 16:39:38.353791,hold,0.15000066111111113,hyperliquid,lighter,101876.0,101908.2,1.25e-05,0.0012,y,True,False
2025-11-08 16:40:38.354038,hold,0.1666673963888889,hyperliquid,lighter,101882.0,101898.6,1.25e-05,0.0012,y,True,False
2025-11-08 16:41:38.354302,hold,0.18333413638888887,hyperliquid,lighter,101873.0,101924.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:42:38.354548,hold,0.2000008713888889,hyperliquid,lighter,101899.0,101795.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:43:38.354793,hold,0.2166676061111111,hyperliquid,lighter,101781.0,101721.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:44:38.355064,hold,0.23333434805555556,hyperliquid,lighter,101714.0,101723.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:45:38.355317,hold,0.250001085,hyperliquid,lighter,101700.0,101720.4,1.25e-05,0.0012,y,True,False
2025-11-08 16:46:38.355592,hold,0.26666782805555556,hyperliquid,lighter,101700.0,101741.1,1.25e-05,0.0012,y,True,False
2025-11-08 16:47:38.355816,hold,0.2833345569444444,hyperliquid,lighter,101710.0,101787.7,1.25e-05,0.0012,y,True,False
2025-11-08 16:48:38.356043,hold,0.30000128666666664,hyperliquid,lighter,101756.0,101767.9,1.25e-05,0.0012,y,True,False
2025-11-08 16:49:38.356324,hold,0.3166680313888889,hyperliquid,lighter,101746.0,101723.5,1.25e-05,0.0012,y,True,False
